"","valgen","crotal","canac","crotalM","crotalP","partos","litros"
"72343",14.25,72343,22,80654,65024,1,225
"72342",17.7,72342,22,83384,2123,1,222
"72378",29.69,72378,22,80670,2157,1,222
"99070",40.09,99070,23,7770,98595,1,222
"14784",9.01,14784,21,40611,0,3,219
"72345",11.5,72345,22,80691,0,1,219
"72359",35.97,72359,22,7768,91219,1,219
"72332",-5.19,72332,22,0,0,2,214
"72364",21.52,72364,22,55685,2123,1,210
"72374",35.13,72374,22,80624,65018,1,210
"72306",12.64,72306,22,40601,0,1,196
"99128",26.06,99128,23,14777,91461,1,196
"72353",33.2,72353,22,7733,91235,1,193
"72347",21.88,72347,22,56451,0,1,191
"72338",28.22,72338,22,80690,2148,2,183
"72308",15.12,72308,22,56435,0,2,181
"72367",12.9,72367,22,83400,0,1,179
"72351",11.2,72351,22,56409,2157,1,174
"72331",18.22,72331,22,83388,64878,1,169
"72370",15.93,72370,22,83395,65023,1,167
"72321",-5.06,72321,22,0,0,1,165
"72337",4.56,72337,22,8627,0,1,160
"99043",11.43,99043,23,56422,0,1,158
"72346",28.46,72346,22,56387,65018,1,156
"99119",43.68,99119,23,55682,98595,1,156
"72309",11.53,72309,22,80683,2148,1,154
"72348",12.6,72348,22,56384,65023,2,154
"99074",16.12,99074,23,80610,2119,1,143
"72379",21.36,72379,22,7777,65018,1,139
"99098",8.17,99098,23,80639,91123,1,139
"72322",3.97,72322,22,56446,0,1,137
"72333",22.08,72333,22,56461,2122,1,136
"99122",42.6,99122,23,56414,2115,1,136
"99076",29.64,99076,23,83384,91115,1,135
"99124",31.44,99124,23,7761,98595,1,135
"99094",42.99,99094,23,14811,91213,1,133
"72312",5.31,72312,22,56436,91219,1,128
"72357",6.01,72357,22,56472,91219,1,126
"72352",-3.29,72352,22,8619,0,1,125
"99107",32.86,99107,23,14797,91235,1,124
"99104",37.9,99104,23,7775,2128,1,123
"99126",13.08,99126,23,80639,91123,1,122
"99114",18.17,99114,23,83420,91100,1,121
"99057",31.76,99057,23,7732,91461,1,112
"99065",16.23,99065,23,7744,91206,1,112
"99088",20.46,99088,23,80646,91100,1,111
"99089",31.88,99089,23,7771,0,1,109
"99123",45.37,99123,23,56414,2115,1,108
"99090",24.22,99090,23,7739,51527,1,107
"99121",35.59,99121,23,7749,64878,1,105
"72319",2.55,72319,22,0,0,1,104
"72349",17.88,72349,22,55690,51527,1,104
"99062",14.96,99062,23,80618,91123,1,104
"99044",26.08,99044,23,56429,91115,1,96
"72315",3.48,72315,22,80628,91218,1,95
"99048",19.43,99048,23,56384,51527,1,90
"99112",18.52,99112,23,55695,91115,1,89
"99100",13.46,99100,23,56424,91123,1,88
"99120",11.84,99120,23,14816,0,1,86
"72354",23.88,72354,22,7734,0,1,74
"99049",3.89,99049,23,56465,91213,1,74
"99053",21.48,99053,23,56429,91115,1,72
"99073",12.31,99073,23,55685,0,1,69
"99054",8.96,99054,23,14789,0,1,67
"72302",19.49,72302,22,7735,91235,1,57
"99097",30.3,99097,23,55683,2115,1,55
"99115",-4.33,99115,23,14788,0,1,53
"7730",23.57,7730,20,8628,51529,3,0
"7732",33.13,7732,20,55697,2125,4,0
"7734",49.24,7734,20,40685,30224,3,0
"7738",6.38,7738,20,30602,2113,4,0
"7739",13.95,7739,20,83395,2120,4,0
"7741",7.19,7741,20,8587,0,3,0
"7761",20.74,7761,20,40654,98594,4,0
"7765",22.81,7765,20,8651,2125,4,0
"7775",29.61,7775,20,30557,65017,4,0
"8628",17.17,8628,16,28811,0,7,0
"8647",-13.64,8647,16,28830,65480,7,0
"14776",0.46,14776,21,80622,91063,2,0
"14779",22.15,14779,21,80629,91469,3,0
"14785",17.68,14785,21,40677,0,3,0
"14787",44.38,14787,21,55683,91080,3,0
"14797",7.69,14797,21,40620,2129,3,0
"14803",30.25,14803,21,55697,91087,1,0
"14804",5.44,14804,21,8627,91063,2,0
"33828",-23.08,33828,14,65180,98510,10,0
"55676",1.02,55676,17,28756,98536,7,0
"55680",15.09,55680,17,30581,0,5,0
"55685",8.23,55685,17,33856,98551,7,0
"55690",3.06,55690,17,30616,51508,7,0
"55698",-1.31,55698,17,16532,61016,7,0
"56384",14.05,56384,19,33905,20052,5,0
"56400",15.76,56400,19,55672,60357,4,0
"56404",9.16,56404,19,55668,0,5,0
"56411",-7.94,56411,19,8658,64899,3,0
"56416",4.29,56416,19,40638,0,3,0
"56420",-3.55,56420,19,40667,0,5,0
"56438",-4.44,56438,19,33825,71108,4,0
"56442",5.29,56442,19,8662,98510,4,0
"56454",25.04,56454,19,40679,20052,5,0
"56460",-9.49,56460,19,8589,64888,5,0
"56475",5.67,56475,19,40625,71102,5,0
"72334",14.43,72334,22,56384,65023,2,0
"80609",7.86,80609,18,40633,65019,5,0
"80618",-4.94,80618,18,40654,98551,6,0
