"","valgen","crotal","cana","npartosULT","fechapartoULT","nvivosULT","ncontrULT","diasULT","ordeULT","tipoULT","laPROM","diasPROM","orderPROM","tipoPROM","acumPROM"
"74","12","56410","19","4","07/01/2024","1","6","202","203","141","4","178","196","166","782"
"75","21,5","56412","19","4","08/01/2024","1","6","201","173","171","4","171","174","184","697"
"76","54,94","56413","19","4","05/01/2024","2","4","144","202","262","4","157","203","218","813"
"77","37,89","56414","19","4","03/01/2024","2","6","206","242","188","4","157","227","187","906"
"78","2,46","56415","19","5","09/01/2024","1","4","140","68","96","5","145","121","116","604"
"79","19,76","56418","19","5","07/01/2024","2","6","202","207","220","4","182","192","179","769"
"80","-2,45","56422","19","5","22/01/2024","1","6","187","99","102","3","176","136","109","408"
"81","1,96","56423","19","4","07/01/2024","1","6","202","143","104","3","183","173","125","518"
"82","3,12","56424","19","5","21/01/2024","1","6","188","164","158","4","184","178","145","712"
"83","28,36","56428","19","4","27/01/2024","2","6","182","283","252","3","152","208","185","625"
"84","14,33","56429","19","5","04/01/2024","2","6","205","254","211","3","188","223","184","669"
"85","9,13","56431","19","5","23/01/2024","2","6","186","201","171","4","173","188","164","753"
"86","-4,25","56437","19","4","13/01/2024","1","5","165","174","143","4","156","135","115","541"
"87","2,56","56441","19","4","05/01/2024","2","4","144","147","174","3","165","159","158","478"
"88","-9,21","56446","19","4","25/01/2024","1","6","184","153","144","4","166","139","118","555"
"89","25,86","56448","19","5","06/01/2024","1","6","203","211","205","4","188","198","174","792"
"90","27","56449","19","5","09/01/2024","1","6","200","225","225","4","184","222","202","887"
"91","41,38","56450","19","5","07/01/2024","1","6","202","263","244","5","169","189","160","946"
"92","5,29","56456","19","5","08/01/2024","2","4","141","118","124","5","157","144","141","722"
"93","-1,05","56457","19","4","03/01/2024","2","6","206","162","117","3","194","196","161","588"
"94","15,4","56458","19","4","05/01/2024","3","6","204","213","199","4","173","194","169","774"
"95","-12,84","56465","19","5","07/01/2024","2","4","142","70","66","4","125","103","107","412"
"96","16,11","72300","22","2","10/01/2024","1","6","199","237","224","2","168","175","177","349"
"97","41,26","72301","22","1","11/01/2024","1","6","198","245","198","1","198","245","198","245"
"98","19,49","72302","22","1","29/01/2024","1","3","89","57","94","1","89","57","94","57"
"99","23,91","72303","22","2","05/01/2024","1","6","204","217","192","2","179","189","172","378"
"100","12,64","72306","22","1","25/01/2024","1","6","184","196","158","1","184","196","158","196"
"101","15,12","72308","22","2","10/02/2024","1","6","171","181","187","1","171","181","187","181"
"102","11,53","72309","22","1","10/03/2024","1","5","139","154","121","1","139","154","121","154"
"103","58,08","72311","22","1","23/01/2024","2","6","186","301","272","1","186","301","272","301"
"104","5,31","72312","22","1","07/01/2024","1","6","202","128","73","1","202","128","73","128"
"105","18,1","72314","22","2","12/03/2024","1","5","137","153","163","2","137","125","127","250"
"106","3,48","72315","22","1","04/01/2024","1","4","145","95","110","1","145","95","110","95"
"107","27,07","72316","22","1","07/01/2024","1","6","202","239","165","1","202","239","165","239"
"108","2,55","72319","22","1","23/04/2024","1","4","105","104","141","1","105","104","141","104"
"109","-5,06","72321","22","1","24/01/2024","1","6","185","165","132","1","185","165","132","165"
