"","valgen","crotal","cana","crotalM","crotalP","npartosULT","fechapartoULT","nvivosULT","nmuertosULT","ncontrULT","diasULT","ordeULT","tipoULT","laPROM","diasPROM","orderPROM","tipoPROM","acumPROM"
"63","","10102","24",NA,NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"64","","10103","24","72342","91093","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"65","","10104","24","83400",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"66","","10105","24","72347","91093","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"67","","10106","24","56457","91244","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"68","","10107","24","72352",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"69","","10109","24","55682","2181","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"70","","10110","24","80650","2181","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"71","","10111","24","14775","2181","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"72","","10112","24","80690","2134","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"73","","10113","24","56402","2115","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"74","","10115","24","80646","2119","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"75","","10116","24","14802","2151","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"76","","10117","24","56454","2181","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"77","","10118","24","56418","2119","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"78","","10119","24","7727","2115","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"79","","10121","24","56429","2134","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"80","","10122","24","72311",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"81","","10123","24","56442","91244","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"82","","10124","24",NA,NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"83","","10125","24","56414","91235","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"84","","10126","24","72306",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"85","","10127","24","56394",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"86","","10128","24","56415","91114","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"87","","10130","24","72326","91461","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"88","","10131","24","72364","91461","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"89","","10132","24","56398","91244","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"90","","10133","24","7755",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"91","","10134","24","14769",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"92","","10136","24","55683","2115","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"93","","10137","24","72365","2181","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"94","","10138","24","7769",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"95","","10140","24",NA,NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"96","","10141","24","83420",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"97","","10142","24","72366","91461","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"98","","10143","24","14771",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"99","","10144","24","55684",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"100","","10145","24","7738",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"101","","10146","24","56404",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"102","","10147","24","14801",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"103","","10148","24","7779","2115","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"104","","10149","24","80661",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"105","","10150","24","99122",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"106","","10151","24","56448","2115","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"107","","10152","24","56384","2134","*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"108","","10153","24","72302",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
"109","","10154","24","7720",NA,"*** CORDERA ***","",NA,NA,"","","","","","","",NA,""
